metro_area,state,county_fips1,county_fips2,county_fips3,county_fips4,county_fips5,estimate_2019,actual_2010,growth,combided_statistical_area
Jonesboro,AR,5031,,,,,"133,860","121,026",10.60%,"Jonesboro-Paragould, AR CSA"
The Villages,FL,12119,,,,,"132,420","93,420",41.75%,"Orlando-Lakeland-Deltona, FL CSA"
Manhattan,KS,20161,,,,,"130,285","127,081",2.52%,
Johnstown,PA,42021,,,,,"130,192","143,679",?9.39%,"Johnstown-Somerset, PA CSA"
Albany-Lebanon,OR,41043,,,,,"129,749","116,672",11.21%,"Portland-Vancouver-Salem, OR-WA CSA"
Mount Vernon-Anacortes,WA,53057,,,,,"129,205","116,901",10.53%,"Seattle-Tacoma, WA CSA"
Bismarck,ND,38015,,,,,"128,949","110,625",16.56%,
Lawton,OK,40031,,,,,"126,415","130,291",?2.97%,
Sierra Vista-Douglas,AZ,4003,,,,,"125,922","131,346",?4.13%,
St. Joseph,MO,29021,,,,,"125,223","127,329",?1.65%,"Kansas City-Overland Park-Kansas City, MO-KS CSA"
Glens Falls,NY,36113,,,,,"125,148","128,923",?2.93%,"Albany-Schenectady, NY CSA"
Pittsfield,MA,25003,,,,,"124,944","131,219",?4.78%,
Cleveland,TN,47011,,,,,"124,942","115,788",7.91%,"Chattanooga-Cleveland-Dalton, TN-GA-AL CSA"
New Bern,NC,37049,,,,,"124,284","126,802",?1.99%,"New Bern-Morehead City, NC CSA"
Farmington,NM,35045,,,,,"123,958","130,044",?4.68%,
Ames,IA,19169,,,,,"123,351","115,848",6.48%,"Des Moines-Ames-West Des Moines, IA CSA"
Goldsboro,NC,37191,,,,,"123,131","122,623",0.41%,
Staunton,VA,51015,,,,,"123,120","118,502",3.90%,"Harrisonburg-Staunton-Waynesboro, VA CSA"
Lawrence,KS,20045,,,,,"122,259","110,826",10.32%,"Kansas City-Overland Park-Kansas City, MO-KS CSA"
San Angelo,TX,48451,,,,,"122,027","112,966",8.02%,
Altoona,PA,42013,,,,,"121,829","127,089",?4.14%,
Mansfield,OH,39139,,,,,"121,154","124,475",?2.67%,"Mansfield-Ashland-Bucyrus, OH CSA"
Wenatchee,WA,53007,,,,,"120,629","110,884",8.79%,
Missoula,MT,30063,,,,,"119,600","109,299",9.42%,
Owensboro,KY,21059,,,,,"119,440","114,752",4.09%,
Brunswick,GA,13127,,,,,"118,779","112,370",5.70%,
Weirton-Steubenville,WV,54009,54029,39081,,,"116,074","124,454",?6.73%,"Pittsburgh-New Castle-Weirton, PA-OH-WV CSA"
Beckley,WV,54081,,,,,"115,767","124,898",?7.31%,
Sheboygan,WI,55117,,,,,"115,340","115,507",?0.14%,
Muncie,IN,18035,,,,,"114,135","117,671",?3.00%,"Indianapolis-Carmel-Muncie, IN CSA"
Anniston-Oxford,AL,1015,1121,,,,"113,605","118,572",?4.19%,
California-Lexington Park,MD,24037,,,,,"113,510","105,151",7.95%,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA"
Williamsport,PA,42081,,,,,"113,299","116,111",?2.42%,"Williamsport-Lock Haven, PA CSA"
Twin Falls,ID,16083,,,,,"111,290","99,604",11.73%,
Longview,WA,53015,,,,,"110,593","102,410",7.99%,"Portland-Vancouver-Salem, OR-WA CSA"
Michigan City-La Porte,IN,18091,,,,,"109,888","111,467",?1.42%,"Chicago-Naperville, IL-IN-WI CSA"
Kankakee,IL,17091,,,,,"109,862","113,449",?3.16%,"Chicago-Naperville, IL-IN-WI CSA"
Watertown-Fort Drum,NY,36045,,,,,"109,834","116,229",?5.50%,
Lewiston-Auburn,ME,23001,,,,,"108,277","107,702",0.53%,"Portland-Lewiston-South Portland, ME CSA"
Sebring-Avon Park,FL,12055,,,,,"106,221","98,786",7.53%,
Decatur,IL,17115,,,,,"104,009","110,768",?6.10%,
Fond du Lac,WI,55039,,,,,"103,403","101,633",1.74%,
Bay City,MI,26017,,,,,"103,126","107,771",?4.31%,"Saginaw-Midland-Bay City, MI CSA"
Gettysburg,PA,42001,,,,,"103,009","101,407",1.58%,"Harrisburg-York-Lebanon, PA CSA"
Lima,OH,39003,,,,,"102,351","106,331",?3.74%,"Lima-Van Wert-Celina, OH CSA"
Gadsden,AL,1055,,,,,"102,268","104,430",?2.07%,
Ithaca,NY,36109,,,,,"102,180","101,564",0.61%,"Ithaca-Cortland, NY CSA"
Mankato,MN,27013,27103,27079,,,"101,927","96,740",5.36%,"Mankato-New Ulm, MN CSA"
Grand Forks,ND,38035,,,,,"100,815","98,461",2.39%,
Victoria,TX,48469,,,,,"99,742","94,003",6.11%,"Victoria-Port Lavaca, TX CSA"
Cheyenne,WY,56021,,,,,"99,500","91,738",8.46%,
Hot Springs,AR,5051,,,,,"99,386","96,024",3.50%,"Hot Springs-Malvern, AR CSA"
Rome,GA,13115,,,,,"98,498","96,317",2.26%,"Atlanta–Athens-Clarke County–Sandy Springs, GA-AL CSA"
Dubuque,IA,19061,,,,,"97,311","93,653",3.91%,
Cumberland,MD,24001,,,,,"97,284","103,299",?5.82%,
Fairbanks,AK,2090,,,,,"96,849","97,581",?0.75%,
Cape Girardeau,MO,29031,,,,,"96,765","96,275",0.51%,"Cape Girardeau-Sikeston, MO-IL CSA"
Pocatello,ID,16005,,,,,"95,489","90,656",5.33%,
Corvallis,OR,41003,,,,,"93,053","85,579",8.73%,"Portland-Vancouver-Salem, OR-WA CSA"
Ocean City,NJ,34009,,,,,"92,039","97,265",?5.37%,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA"
Parkersburg-Vienna,WV,54107,,,,,"89,339","92,673",?3.60%,"Parkersburg-Marietta-Vienna, WV-OH CSA"
Pine Bluff,AR,5069,,,,,"87,804","100,258",?12.42%,"Little Rock-North Little Rock, AR CSA"
Grants Pass,OR,41033,,,,,"87,487","82,713",5.77%,"Medford-Grants Pass, OR CSA"
Columbus,IN,18005,,,,,"83,779","76,794",9.10%,"Indianapolis-Carmel-Muncie, IN CSA"
Elmira,NY,36015,,,,,"83,456","88,830",?6.05%,"Elmira-Corning, NY CSA"
Bloomsburg-Berwick,PA,42037,,,,,"83,194","85,562",?2.77%,"Bloomsburg-Berwick-Sunbury, PA CSA"
Midland,MI,26111,,,,,"83,156","83,629",?0.57%,"Saginaw-Midland-Bay City, MI CSA"
Kokomo,IN,18067,,,,,"82,544","82,752",?0.25%,"Kokomo-Peru, IN CSA"
Great Falls,MT,30013,,,,,"81,366","81,327",0.05%,
Hinesville,GA,13179,,,,,"80,994","77,917",3.95%,"Savannah-Hinesville-Statesboro, GA CSA"
Casper,WY,56025,,,,,"79,858","75,450",5.84%,
Danville,IL,17183,,,,,"75,758","81,625",?7.19%,
Grand Island,NE,31079,,,,,"75,553","72,726",3.89%,
Lewiston,ID,16069,,,,,"62,990","60,888",3.45%,
Enid,OK,40047,,,,,"61,056","60,580",0.79%,
Walla Walla,WA,53071,,,,,"60,760","58,781",3.37%,
Carson City,NV,32510,,,,,"55,916","55,274",1.16%,"Reno-Carson City-Fernley, NV CSA"
