metro_area,state,county_fips1,county_fips2,county_fips3,county_fips4,county_fips5,estimate_2019,actual_2010,growth,combided_statistical_area
Spokane-Spokane Valley,WA,53063,,,,,"568,521","514,752",10.45%,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA"
Chattanooga,TN,47065,,,,,"565,194","528,143",7.02%,"Chattanooga-Cleveland-Dalton, TN-GA-AL CSA"
Scranton–Wilkes-Barre,PA,42069,42079,,,,"553,885","563,631",?1.73%,
Modesto,CA,6099,,,,,"550,660","514,453",7.04%,"San Jose-San Francisco-Oakland, CA CSA"
Lansing-East Lansing,MI,26065,26045,26037,,,"550,391","534,684",2.94%,
Lancaster,PA,42071,,,,,"545,724","519,445",5.06%,
Portland-South Portland,ME,23005,,,,,"538,500","514,098",4.75%,"Portland-Lewiston-South Portland, ME CSA"
Youngstown-Warren-Boardman,OH,39099,39155,,,,"536,081","565,773",?5.25%,"Youngstown-Warren, OH-PA CSA"
Fayetteville-Springdale-Rogers,AR,5143,5007,,,,"534,904","440,121",21.54%,
Fayetteville,NC,37051,,,,,"526,719","481,061",9.49%,"Fayetteville-Lumberton-Laurinburg, NC CSA"
Lexington-Fayette,KY,21067,,,,,"517,056","472,099",9.52%,"Lexington-Fayette–Richmond–Frankfort, KY CSA"
Pensacola-Ferry Pass-Brent,FL,12033,,,,,"502,629","448,991",11.95%,"Pensacola-Ferry Pass, FL-AL CSA"
Myrtle Beach-Conway-North Myrtle Beach,SC,45051,,,,,"496,901","376,722",31.90%,"Myrtle Beach-Conway, SC-NC CSA"
Santa Rosa-Petaluma,CA,6097,,,,,"494,336","483,878",2.16%,"San Jose-San Francisco-Oakland, CA CSA"
Port St. Lucie,FL,12111,,,,,"489,297","424,107",15.37%,"Miami-Port St. Lucie-Fort Lauderdale, FL CSA"
Lafayette,LA,22055,,,,,"489,207","466,750",4.81%,"Lafayette-Opelousas-Morgan City, LA CSA"
Reno,NV,32031,,,,,"475,642","425,417",11.81%,"Reno-Carson City-Fernley, NV CSA"
Huntsville,AL,1089,,,,,"471,824","417,593",12.99%,"Huntsville-Decatur, AL CSA"
Springfield,MO,29077,,,,,"470,300","436,712",7.69%,
Visalia,CA,6107,,,,,"466,195","442,179",5.43%,
Asheville,NC,37021,,,,,"462,680","424,858",8.90%,"Asheville-Marion-Brevard, NC CSA"
Killeen-Temple,TX,48027,,,,,"460,303","405,300",13.57%,
York-Hanover,PA,42133,,,,,"449,058","434,972",3.24%,"Harrisburg-York-Lebanon, PA CSA"
Vallejo,CA,6095,,,,,"447,643","413,344",8.30%,"San Jose-San Francisco-Oakland, CA CSA"
Santa Maria-Santa Barbara,CA,6083,,,,,"446,499","423,895",5.33%,
Salinas,CA,6053,,,,,"434,061","415,057",4.58%,
Salem,OR,41047,41053,,,,"433,903","390,738",11.05%,"Portland-Vancouver-Salem, OR-WA CSA"
Mobile,AL,1097,,,,,"429,536","430,573",?0.24%,"Mobile-Daphne-Fairhope, AL CSA"
Corpus Christi,TX,48355,,,,,"429,024","405,027",5.92%,"Corpus Christi-Kingsville-Alice, TX CSA"
Brownsville-Harlingen,TX,48061,,,,,"423,163","406,220",4.17%,"Brownsville-Harlingen-Raymondville, TX CSA"
Reading,PA,42011,,,,,"421,164","411,442",2.36%,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA"
Gulfport-Biloxi,MS,28047,,,,,"417,665","388,488",7.51%,
Manchester-Nashua,NH,33011,,,,,"417,025","400,721",4.07%,"Boston-Worcester-Providence, MA-RI-NH-CT CSA"
Salisbury,MD,24045,,,,,"415,726","373,802",11.22%,"Salisbury-Cambridge, MD-DE CSA"
Fort Wayne,IN,18003,,,,,"413,263","388,621",6.34%,"Fort Wayne-Huntington-Auburn, IN CSA"
Flint,MI,26049,,,,,"405,813","425,790",?4.69%,"Detroit-Warren-Ann Arbor, MI CSA"
Peoria,IL,17143,,,,,"400,561","416,255",?3.77%,
Canton-Massillon,OH,39151,,,,,"397,520","404,422",?1.71%,"Cleveland-Akron-Canton, OH CSA"
Anchorage,AK,2020,,,,,"396,317","380,821",4.07%,
Shreveport-Bossier City,LA,22017,22015,,,,"394,706","398,604",?0.98%,"Shreveport-Bossier City-Minden, LA CSA"
Savannah,GA,13051,,,,,"393,353","347,611",13.16%,"Savannah-Hinesville-Statesboro, GA CSA"
Beaumont-Port Arthur,TX,48245,48361,,,,"392,563","388,745",0.98%,
Tallahassee,FL,12073,,,,,"387,227","367,413",5.39%,
Naples-Marco Island,FL,12021,,,,,"384,902","321,520",19.71%,"Cape Coral-Fort Myers-Naples, FL CSA"
Eugene-Springfield,OR,41039,,,,,"382,067","351,715",8.63%,
Davenport-Moline-Rock Island,IA,19163,17161,,,,"379,172","379,690",?0.14%,"Davenport-Moline, IA-IL CSA"
Montgomery,AL,1101,,,,,"373,290","374,536",?0.33%,"Montgomery-Selma-Alexander City, AL CSA"
Hickory-Lenoir-Morganton,NC,37035,37027,37023,,,"369,711","365,497",1.15%,
Ann Arbor,MI,26161,,,,,"367,601","344,791",6.62%,"Detroit-Warren-Ann Arbor, MI CSA"
Trenton-Princeton,NJ,34021,,,,,"367,430","366,513",0.25%,"New York-Newark, NY-NJ-CT-PA CSA"
Ocala,FL,12083,,,,,"365,579","331,298",10.35%,
Fort Collins,CO,8069,,,,,"356,899","299,630",19.11%,
Huntington-Ashland,WV,54011,21019,,,,"355,873","370,908",?4.05%,"Charleston-Huntington-Ashland, WV-OH-KY CSA"
Lincoln,NE,31109,,,,,"336,374","302,157",11.32%,"Lincoln-Beatrice, NE CSA"
Rockford,IL,17201,,,,,"336,116","349,431",?3.81%,"Rockford-Freeport-Rochelle, IL CSA"
Gainesville,FL,12001,,,,,"329,128","305,076",7.88%,"Gainesville-Lake City, FL CSA"
Boulder,CO,8013,,,,,"326,196","294,567",10.74%,"Denver-Aurora, CO CSA"
Greeley,CO,8123,,,,,"324,492","252,825",28.35%,"Denver-Aurora, CO CSA"
South Bend-Mishawaka,IN,18141,,,,,"323,613","319,224",1.37%,"South Bend-Elkhart-Mishawaka, IN-MI CSA"
Green Bay,WI,55009,,,,,"322,906","306,241",5.44%,"Green Bay-Shawano, WI CSA"
Lubbock,TX,48303,,,,,"322,257","290,805",10.82%,"Lubbock-Plainview-Levelland, TX CSA"
Columbus,GA,13215,,,,,"321,048","307,788",4.31%,"Columbus-Auburn-Opelika, GA-AL CSA"
Spartanburg,SC,45083,,,,,"319,785","284,307",12.48%,"Greenville-Spartanburg-Anderson, SC CSA"
Evansville,IN,18163,,,,,"315,086","311,552",1.13%,
Roanoke,VA,51161,,,,,"313,222","308,707",1.46%,
Clarksville,TN,47125,,,,,"307,820","273,949",12.36%,
Kingsport-Bristol,TN,47163,47073,,,,"307,202","309,544",?0.76%,"Johnson City-Kingsport-Bristol, TN-VA CSA"
Kennewick-Richland,WA,53005,,,,,"299,612","253,340",18.26%,"Kennewick-Richland-Walla Walla, WA CSA"
Wilmington,NC,37129,,,,,"297,533","254,884",16.73%,
Olympia-Lacey-Tumwater,WA,53067,,,,,"290,536","252,264",15.17%,"Seattle-Tacoma, WA CSA"
Utica-Rome,NY,36065,,,,,"289,990","299,397",?3.14%,
Duluth,MN,27137,,,,,"288,732","290,637",?0.66%,
Hagerstown-Martinsburg,MD,24043,54003,,,,"288,104","269,140",7.05%,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA"
Longview,TX,48183,,,,,"286,657","280,000",2.38%,
Crestview-Fort Walton Beach-Destin,FL,12091,,,,,"284,809","235,865",20.75%,
San Luis Obispo-Paso Robles,CA,6079,,,,,"283,111","269,637",5.00%,
Merced,CA,6047,,,,,"277,680","255,793",8.56%,"San Jose-San Francisco-Oakland, CA CSA"
Laredo,TX,48479,,,,,"276,652","250,304",10.53%,
Waco,TX,48309,,,,,"273,920","252,772",8.37%,
Santa Cruz-Watsonville,CA,6087,,,,,"273,213","262,382",4.13%,"San Jose-San Francisco-Oakland, CA CSA"
Cedar Rapids,IA,19113,,,,,"273,032","257,940",5.85%,"Cedar Rapids-Iowa City, IA CSA"
Bremerton-Silverdale-Port Orchard,WA,53035,,,,,"271,473","251,133",8.10%,"Seattle-Tacoma, WA CSA"
Erie,PA,42049,,,,,"269,728","280,566",?3.86%,"Erie-Meadville, PA CSA"
Sioux Falls,SD,46099,,,,,"268,232","228,261",17.51%,
Norwich-New London,CT,9011,,,,,"265,206","274,055",?3.23%,"Hartford-East Hartford, CT CSA"
Kalamazoo-Portage,MI,26077,,,,,"265,066","250,331",5.89%,"Kalamazoo-Battle Creek-Portage, MI CSA"
Amarillo,TX,48375,,,,,"265,053","251,933",5.21%,"Amarillo-Pampa-Borger, TX CSA"
College Station-Bryan,TX,48041,,,,,"264,728","228,660",15.77%,
Atlantic City-Hammonton,NJ,34001,,,,,"263,670","274,549",?3.96%,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA"
Lynchburg,VA,51680,,,,,"263,566","252,634",4.33%,
Charleston,WV,54039,,,,,"257,074","278,009",?7.53%,"Charleston-Huntington-Ashland, WV-OH-KY CSA"
Tuscaloosa,AL,1125,,,,,"252,047","239,207",5.37%,
Yakima,WA,53077,,,,,"250,873","243,231",3.14%,
Fort Smith,AR,5131,,,,,"250,368","248,208",0.87%,
Fargo,ND,38017,,,,,"246,145","208,777",17.90%,"Fargo-Wahpeton, ND-MN CSA"
Binghamton,NY,36007,,,,,"238,691","251,725",?5.18%,
