Rk,Year,Lg,Rnd,Pick,Tm,Player,Pos,
93,1956,NFL,20,230,DET,Joe Stephenson,E,
94,1956,NFL,26,311,CHI,Don Orr,B,
95,1956,NFL,29,346,CHI,Billy Krietemeyer,B,
96,1956,NFL,29,349,CLE,John Battos,E,
97,1955,NFL,8,94,PHI,Herman Watson,T,
98,1955,NFL,15,172,WAS,Charley Horton,B,
99,1955,NFL,19,225,PHI,Terry Fails,E,
100,1953,NFL,10,121,RAM,Mick Lakos,B,
101,1952,NFL,1,1,RAM,Billy Wade\WadeBi00,QB,College Stats
102,1952,NFL,24,283,WAS,Ted Kirkland,E,
103,1952,NFL,24,285,DET,Bob Werckle,T,
104,1951,NFL,2,24,RAM,Herb Rich\RichHe20,B,
105,1951,NFL,2,26,CLE,Bucky Curtis,E,
106,1951,NFL,10,115,CRD,Ken Cooper\CoopKe20,G,
107,1950,NFL,6,67,BCL,Herb Rich\RichHe20,DB,
108,1950,NFL,26,332,NYG,Carl Copp,T,
109,1949,NFL,10,99,CHI,Lee Malley,B,
110,1949,NFL,15,143,GNB,Ken Cooper\CoopKe20,G,
111,1949,NFL,15,151,PHI,Carl Copp,T,
112,1949,NFL,17,162,DET,Zealand Thigpen,B,
113,1947,NFL,4,24,DET,Charley Hoover,C,
114,1947,NFL,8,61,PHI,Al Satterfield\SattAl20,T,
115,1947,NFL,21,189,PIT,Fred Hamilton,T,
116,1947,NFL,23,209,PIT,Binks Bushmiaer,B,
117,1945,NFL,6,51,WAS,John North\NortJo20,E,
118,1945,NFL,7,61,WAS,John Steber\StebJo20,G,
119,1945,NFL,31,320,WAS,Bob Cummings,C,
120,1944,NFL,12,117,CHI,J.P. Moore,B,
121,1943,NFL,1,10,WAS,Jack Jenkins\JenkJa20,FB,College Stats
122,1942,NFL,14,130,CHI,Henry Gude\GudeHe20,C,
123,1941,NFL,20,190,WAS,Ed Hiestand,E,
124,1940,NFL,16,149,GNB,Ray Andrus,B,
125,1938,NFL,5,33,BKN,Ed Merlin\MerlEd20,G,
126,1938,NFL,11,92,PHI,Carl Hinkle,C,
127,1937,NFL,3,28,CHI,Dick Plasman\PlasDi20,E,
