Pos,Player,,AP1,PB,St,CarAV,Ht,Wt,Yrs,,NFL Draft (tm/rnd/yr),AFL Draft (tm/rnd/yr)
LB,Antony Jordan\JordAn20,,0,0,0,1,3-Jun,234,3,1998-2001,Indianapolis Colts / 5th / 135th pick / 1998,
HB-FB,Phil King\KingPh00,College Stats,0,0,2,23,4-Jun,223,9,1958-1966,New York Giants / 1st / 12th pick / 1958,
WR,Jonathan Krause\KrauJo00,,0,0,0,0,11-May,190,1,2015-2015,,
FS,Kenny Ladler\LadlKe00,College Stats,0,0,0,0,1-Jun,200,3,2014-2019,,
DB,Reshard Langford\LangRe99,College Stats,0,0,0,1,2-Jun,212,2,2010-2011,,
DB,Myron Lewis\LewiMy99,College Stats,0,0,0,1,2-Jun,203,3,2010-2012,Tampa Bay Buccaneers / 3rd / 67th pick / 2010,
T-C-LB,Tex Leyendecker\LeyeTe20,,0,0,0,0,1-Jun,235,1,1933-1933,,
DT,James Manley\ManlJa21,College Stats,0,0,0,0,2-Jun,316,1,1996-1996,Minnesota Vikings / 2nd / 45th pick / 1996,
TE-RB,Allama Matthews\MattAl00,College Stats,0,0,0,0,3-Jun,230,3,1983-1985,Atlanta Falcons / 12th / 322nd pick / 1983,
WR,Jordan Matthews\MattJo00,College Stats,0,0,3,23,3-Jun,215,7,2014-2020,Philadelphia Eagles / 2nd / 42nd pick / 2014,
G,Ed Merlin\MerlEd20,,0,0,0,0,10-May,210,2,1938-1939,Brooklyn Dodgers / 5th / 33rd pick / 1938,
C,Rob Monaco\MonaRo20,College Stats,0,0,0,0,3-Jun,283,1,1985-1985,St. Louis Cardinals / 8th / 212th pick / 1985,
DB,D.J. Moore\MoorDJ99,College Stats,0,0,0,6,10-May,185,5,2009-2013,Chicago Bears / 4th / 119th pick / 2009,
HB-FB,Tom Moore\MoorTo00,College Stats,0,1,3,33,2-Jun,215,8,1960-1967,Green Bay Packers / 1st / 5th pick / 1960,
DB,Doug Nettles\NettDo20,,0,0,2,13,Jun-00,179,6,1974-1980,Baltimore Colts / 5th / 129th pick / 1974,
E-DB,John North\NortJo20,,0,0,2,0,2-Jun,199,3,1948-1950,Washington Redskins / 6th / 51st pick / 1945,
WR,Carl Parker\ParkCa20,College Stats,0,0,0,0,2-Jun,201,2,1988-1989,Cincinnati Bengals / 12th / 307th pick / 1988,
E-T-DE,Jim Peebles\PeebJi20,,0,0,2,0,4-Jun,231,5,1946-1951,,
